distance,hour,fare
0.0,3,4.1408653
0.01,3,4.143465
0.02,3,4.1460633
0.03,3,4.148663
0.04,3,4.1512623
0.05,3,4.1538615
0.06,3,4.156461
0.07,3,4.1590595
0.08,3,4.1616597
0.09,3,4.164258
0.1,3,4.166857
0.11,3,4.169456
0.12,3,4.1720552
0.13,3,4.174655
0.14,3,4.1772537
0.15,3,4.179853
0.16,3,4.182452
0.17,3,4.185051
0.18,3,4.1876507
0.19,3,4.1902485
0.2,3,4.1928487
0.21,3,4.195448
0.22,3,4.1980467
0.23,3,4.2006454
0.24,3,4.203245
0.25,3,4.2058444
0.26,3,4.208444
0.27,3,4.2110434
0.28,3,4.213641
0.29,3,4.2162414
0.3,3,4.21884
0.31,3,4.2214394
0.32,3,4.224038
0.33,3,4.226638
0.34,3,4.2292366
0.35,3,4.2318363
0.36,3,4.2344356
0.37,3,4.237034
0.38,3,4.239634
0.39,3,4.242232
0.4,3,4.244832
0.41,3,4.2474313
0.42,3,4.249981
0.43,3,4.2521753
0.44,3,4.254369
0.45,3,4.2565627
0.46,3,4.258756
0.47,3,4.2609506
0.48,3,4.263144
0.49,3,4.265339
0.5,3,4.2675323
0.51,3,4.2697268
0.52,3,4.27192
0.53,3,4.2741137
0.54,3,4.276308
0.55,3,4.278502
0.56,3,4.2806964
0.57,3,4.2828903
0.58,3,4.2850842
0.59,3,4.287277
0.6,3,4.289472
0.61,3,4.2916656
0.62,3,4.2938595
0.63,3,4.296053
0.64,3,4.298248
0.65,3,4.3004417
0.66,3,4.302635
0.67,3,4.304829
0.68,3,4.3099318
0.69,3,4.318969
0.7,3,4.328006
0.71,3,4.3370433
0.72,3,4.3460803
0.73,3,4.3551183
0.74,3,4.3641553
0.75,3,4.373193
0.76,3,4.38223
0.77,3,4.391267
0.78,3,4.400305
0.79,3,4.4093432
0.8,3,4.4187403
0.81,3,4.430496
0.82,3,4.4422536
0.83,3,4.4540095
0.84,3,4.465765
0.85,3,4.4775214
0.86,3,4.4894915
0.87,3,4.5018964
0.88,3,4.5143027
0.89,3,4.5267076
0.9,3,4.5391145
0.91,3,4.5515213
0.92,3,4.563927
0.93,3,4.576333
0.94,3,4.5887375
0.95,3,4.601145
0.96,3,4.613551
0.97,3,4.625957
0.98,3,4.638363
0.99,3,4.6507688
1.0,3,4.663174
1.01,3,4.675543
1.02,3,4.6855392
1.03,3,4.695535
1.04,3,4.705531
1.05,3,4.7155275
1.06,3,4.7255235
1.07,3,4.73552
1.08,3,4.7455163
1.09,3,4.755512
1.1,3,4.7655087
1.11,3,4.775505
1.12,3,4.7855015
1.13,3,4.795498
1.14,3,4.8054934
1.15,3,4.8154902
1.16,3,4.8254867
1.17,3,4.835491
1.18,3,4.84568
1.19,3,4.8559546
1.2,3,4.868737
1.21,3,4.881519
1.22,3,4.894301
1.23,3,4.9070835
1.24,3,4.9198647
1.25,3,4.932647
1.26,3,4.9454284
1.27,3,4.958211
1.28,3,4.970993
1.29,3,4.9837747
1.3,3,4.9965563
1.31,3,5.0093384
1.32,3,5.022121
1.33,3,5.034902
1.34,3,5.0476847
1.35,3,5.060467
1.36,3,5.0732484
1.37,3,5.086031
1.38,3,5.098812
1.39,3,5.1115947
1.4,3,5.1243763
1.41,3,5.1371584
1.42,3,5.14994
1.43,3,5.162722
1.44,3,5.1755047
1.45,3,5.1882873
1.46,3,5.201069
1.47,3,5.213851
1.48,3,5.226632
1.49,3,5.239415
1.5,3,5.2521963
1.51,3,5.264979
1.52,3,5.284532
1.53,3,5.3067307
1.54,3,5.328931
1.55,3,5.351131
1.56,3,5.3733306
1.57,3,5.3955297
1.58,3,5.417731
1.59,3,5.4399285
1.6,3,5.4621296
1.61,3,5.4843297
1.62,3,5.5065284
1.63,3,5.5287294
1.64,3,5.550929
1.65,3,5.5731287
1.66,3,5.595328
1.67,3,5.6175284
1.68,3,5.6403766
1.69,3,5.6641626
1.7,3,5.6879478
1.71,3,5.711733
1.72,3,5.735517
1.73,3,5.7593
