distance,hour,fare
0.0,21,5.0845194
0.01,21,5.084585
0.02,21,5.08465
0.03,21,5.084717
0.04,21,5.084782
0.05,21,5.0848475
0.06,21,5.084913
0.07,21,5.084978
0.08,21,5.0850444
0.09,21,5.085109
0.1,21,5.0851746
0.11,21,5.08524
0.12,21,5.0849614
0.13,21,5.0844555
0.14,21,5.08395
0.15,21,5.0834436
0.16,21,5.0829377
0.17,21,5.082432
0.18,21,5.0819254
0.19,21,5.081419
0.2,21,5.0809135
0.21,21,5.0804076
0.22,21,5.0799017
0.23,21,5.0793953
0.24,21,5.07889
0.25,21,5.0783834
0.26,21,5.077877
0.27,21,5.0773716
0.28,21,5.076866
0.29,21,5.0763593
0.3,21,5.0758533
0.31,21,5.0753474
0.32,21,5.0748415
0.33,21,5.0743356
0.34,21,5.0733275
0.35,21,5.072251
0.36,21,5.0726843
0.37,21,5.073962
0.38,21,5.07524
0.39,21,5.076517
0.4,21,5.077794
0.41,21,5.079071
0.42,21,5.080349
0.43,21,5.081626
0.44,21,5.082904
0.45,21,5.0841813
0.46,21,5.0854588
0.47,21,5.0867357
0.48,21,5.0880127
0.49,21,5.0892906
0.5,21,5.0905685
0.51,21,5.091846
0.52,21,5.0931234
0.53,21,5.0944004
0.54,21,5.095678
0.55,21,5.096956
0.56,21,5.0982323
0.57,21,5.09951
0.58,21,5.1007876
0.59,21,5.102064
0.6,21,5.107136
0.61,21,5.112788
0.62,21,5.1184406
0.63,21,5.1240935
0.64,21,5.1297455
0.65,21,5.135398
0.66,21,5.1410513
0.67,21,5.149073
0.68,21,5.157237
0.69,21,5.165401
0.7,21,5.173564
0.71,21,5.1817274
0.72,21,5.189892
0.73,21,5.1980543
0.74,21,5.207198
0.75,21,5.216854
0.76,21,5.226509
0.77,21,5.2361646
0.78,21,5.24582
0.79,21,5.255475
0.8,21,5.265132
0.81,21,5.274786
0.82,21,5.284442
0.83,21,5.294098
0.84,21,5.303753
0.85,21,5.313408
0.86,21,5.3230634
0.87,21,5.332719
0.88,21,5.3423743
0.89,21,5.352389
0.9,21,5.369544
0.91,21,5.3874607
0.92,21,5.4053783
0.93,21,5.4232945
0.94,21,5.4412107
0.95,21,5.459128
0.96,21,5.4770446
0.97,21,5.4949617
0.98,21,5.5128784
0.99,21,5.530795
1.0,21,5.548712
1.01,21,5.5666285
1.02,21,5.584546
1.03,21,5.6025743
1.04,21,5.624839
1.05,21,5.650811
1.06,21,5.6767817
1.07,21,5.702753
1.08,21,5.7287245
1.09,21,5.754695
1.1,21,5.7806673
1.11,21,5.8066387
1.12,21,5.8326097
1.13,21,5.858582
1.14,21,5.8844776
1.15,21,5.9100685
1.16,21,5.935658
1.17,21,5.961248
1.18,21,5.986838
1.19,21,6.012428
1.2,21,6.0380187
1.21,21,6.0636077
1.22,21,6.0891976
1.23,21,6.114788
1.24,21,6.140379
1.25,21,6.1659675
1.26,21,6.191558
1.27,21,6.217149
1.28,21,6.2427382
1.29,21,6.2683287
1.3,21,6.2939186
1.31,21,6.3195086
1.32,21,6.3450985
1.33,21,6.3706875
1.34,21,6.396279
1.35,21,6.4218674
1.36,21,6.4466968
1.37,21,6.47143
1.38,21,6.4961643
1.39,21,6.5208955
1.4,21,6.5456285
1.41,21,6.570343
1.42,21,6.594024
1.43,21,6.617705
1.44,21,6.641385
1.45,21,6.665065
1.46,21,6.6887455
1.47,21,6.712425
1.48,21,6.736107
1.49,21,6.759788
1.5,21,6.7834682
1.51,21,6.807149
1.52,21,6.8308287
1.53,21,6.8545094
1.54,21,6.87819
1.55,21,6.90187
1.56,21,6.9255514
1.57,21,6.949231
1.58,21,6.972913
1.59,21,6.996593
1.6,21,7.020273
1.61,21,7.0439534
1.62,21,7.0676336
1.63,21,7.091314
1.64,21,7.114994
1.65,21,7.1386747
1.66,21,7.1623545
1.67,21,7.186036
1.68,21,7.209717
1.69,21,7.2333984
1.7,21,7.257077
1.71,21,7.2807593
1.72,21,7.304439
1.73,21,7.3281198
1.74,21,7.3517995
1.75,21,7.37548
1.76,21,7.3991613
1.77,21,7.422841
1.78,21,7.4465227
1.79,21,7.4702034
1.8,21,7.493882
1.81,21,7.517562
1.82,21,7.5412445
1.83,21,7.564926
1.84,21,7.5886054
1.85,21,7.6122327
1.86,21,7.6357975
1.87,21,7.6593623
1.88,21,7.6808434
1.89,21,7.701968
1.9,21,7.723094
1.91,21,7.744218
1.92,21,7.7653437
1.93,21,7.7864695
1.94,21,7.807594
1.95,21,7.828718
1.96,21,7.849844
1.97,21,7.870969
1.98,21,7.8920937
1.99,21,7.9132195
2.0,21,7.9343433
2.01,21,7.955469
2.02,21,7.976593
2.03,21,7.9977193
2.04,21,8.018843
2.05,21,8.0399685
2.06,21,8.061095
2.07,21,8.082219
2.08,21,8.103344
2.09,21,8.12447
2.1,21,8.145594
2.11,21,8.1667185
2.12,21,8.187845
2.13,21,8.208969
2.14,21,8.230094
2.15,21,8.251221
2.16,21,8.272346
2.17,21,8.293469
2.18,21,8.314595
2.19,21,8.335719
2.2,21,8.356843
2.21,21,8.377972
2.22,21,8.399095
2.23,21,8.420218
2.24,21,8.441344
2.25,21,8.46247
2.26,21,8.483595
2.27,21,8.504719
2.28,21,8.525846
2.29,21,8.546969
2.3,21,8.568094
2.31,21,8.58922
2.32,21,8.610343
2.33,21,8.631469
2.34,21,8.6525955
2.35,21,8.67372
2.36,21,8.694843
2.37,21,8.715969
2.38,21,8.737095
2.39,21,8.75822
2.4,21,8.7793455
2.41,21,8.80047
2.42,21,8.821594
2.43,21,8.84272
2.44,21,8.863845
2.45,21,8.88497
2.46,21,8.906095
2.47,21,8.927219
2.48,21,8.946838
2.49,21,8.965826
2.5,21,8.984813
2.51,21,9.003802
2.52,21,9.02279
2.53,21,9.041776
2.54,21,9.060763
2.55,21,9.079753
2.56,21,9.09874
2.57,21,9.117727
2.58,21,9.1368685
2.59,21,9.156366
2.6,21,9.175868
2.61,21,9.195368
2.62,21,9.214866
2.63,21,9.234366
2.64,21,9.253865
2.65,21,9.273364
2.66,21,9.292865
2.67,21,9.312365
2.68,21,9.331864
2.69,21,9.351363
2.7,21,9.370863
2.71,21,9.390363
2.72,21,9.409862
2.73,21,9.42936
2.74,21,9.44886
2.75,21,9.468361
2.76,21,9.487859
2.77,21,9.507304
2.78,21,9.526501
2.79,21,9.545697
2.8,21,9.564894
2.81,21,9.584091
2.82,21,9.603288
2.83,21,9.622484
2.84,21,9.64168
2.85,21,9.660878
2.86,21,9.680076
2.87,21,9.699271
2.88,21,9.718469
2.89,21,9.737666
2.9,21,9.756861
2.91,21,9.776059
2.92,21,9.795257
2.93,21,9.814454
2.94,21,9.83365
2.95,21,9.852847
2.96,21,9.872045
2.97,21,9.89124
2.98,21,9.910438
2.99,21,9.929633
3.0,21,9.948831
3.01,21,9.968029
3.02,21,9.987226
3.03,21,10.006421
3.04,21,10.025619
3.05,21,10.044814
3.06,21,10.064012
3.07,21,10.083208
3.08,21,10.102404
3.09,21,10.121603
3.1,21,10.1407995
3.11,21,10.159995
3.12,21,10.179192
3.13,21,10.198388
3.14,21,10.217587
3.15,21,10.236783
3.16,21,10.25598
3.17,21,10.275176
3.18,21,10.294375
3.19,21,10.313571
3.2,21,10.3327675
3.21,21,10.351964
3.22,21,10.371161
3.23,21,10.390912
3.24,21,10.410962
3.25,21,10.431012
3.26,21,10.451062
3.27,21,10.47111
3.28,21,10.491162
3.29,21,10.511211
3.3,21,10.5312605
3.31,21,10.551311
3.32,21,10.571362
3.33,21,10.591411
3.34,21,10.61146
3.35,21,10.631511
3.36,21,10.65156
3.37,21,10.67161
3.38,21,10.691661
3.39,21,10.711709
3.4,21,10.73176
3.41,21,10.751809
3.42,21,10.771859
3.43,21,10.791908
3.44,21,10.811959
3.45,21,10.832009
3.46,21,10.852057
3.47,21,10.872109
3.48,21,10.8921585
3.49,21,10.912208
3.5,21,10.932258
3.51,21,10.952308
3.52,21,10.972356
3.53,21,10.992408
3.54,21,11.012457
3.55,21,11.032506
3.56,21,11.052558
3.57,21,11.072606
3.58,21,11.092658
3.59,21,11.112705
3.6,21,11.132756
3.61,21,11.152806
3.62,21,11.172856
3.63,21,11.192913
3.64,21,11.213133
3.65,21,11.233354
3.66,21,11.253574
3.67,21,11.273794
3.68,21,11.294016
3.69,21,11.314236
3.7,21,11.334456
3.71,21,11.354676
3.72,21,11.374898
3.73,21,11.395119
3.74,21,11.41534
3.75,21,11.435559
3.76,21,11.455781
3.77,21,11.476001
3.78,21,11.496222
3.79,21,11.516443
3.8,21,11.536662
3.81,21,11.556886
3.82,21,11.577104
3.83,21,11.597325
3.84,21,11.617546
3.85,21,11.637766
3.86,21,11.657989
3.87,21,11.678207
3.88,21,11.698429
3.89,21,11.718648
3.9,21,11.738872
3.91,21,11.759091
3.92,21,11.779312
3.93,21,11.799532
3.94,21,11.819753
3.95,21,11.8399725
3.96,21,11.860194
3.97,21,11.880414
3.98,21,11.900636
3.99,21,11.920856
4.0,21,11.941077
4.01,21,11.961298
4.02,21,11.981518
4.03,21,12.001739
4.04,21,12.021959
4.05,21,12.042182
4.06,21,12.062401
4.07,21,12.082621
4.08,21,12.102841
4.09,21,12.123063
4.1,21,12.143284
4.11,21,12.163503
4.12,21,12.183725
4.13,21,12.203946
4.14,21,12.224166
4.15,21,12.244387
4.16,21,12.264607
4.17,21,12.284829
4.18,21,12.305049
4.19,21,12.32527
4.2,21,12.3454895
4.21,21,12.36571
4.22,21,12.38593
4.23,21,12.406154
4.24,21,12.4263735
4.25,21,12.446595
4.26,21,12.466814
4.27,21,12.487034
4.28,21,12.5072565
4.29,21,12.527476
4.3,21,12.547698
4.31,21,12.567919
4.32,21,12.587697
4.33,21,12.606611
4.34,21,12.625525
4.35,21,12.64444
4.36,21,12.663353
