distance,hour,fare
0.0,18,5.07923
0.01,18,5.079295
0.02,18,5.079361
0.03,18,5.0794263
0.04,18,5.0794916
0.05,18,5.0795574
0.06,18,5.0796227
0.07,18,5.0796885
0.08,18,5.079754
0.09,18,5.0798197
0.1,18,5.079885
0.11,18,5.0799513
0.12,18,5.0800157
0.13,18,5.080082
0.14,18,5.0801473
0.15,18,5.0802126
0.16,18,5.0802784
0.17,18,5.080344
0.18,18,5.0804095
0.19,18,5.080475
0.2,18,5.080541
0.21,18,5.0806065
0.22,18,5.080672
0.23,18,5.0807376
0.24,18,5.0808024
0.25,18,5.0808682
0.26,18,5.0809336
0.27,18,5.0809994
0.28,18,5.081065
0.29,18,5.0811253
0.3,18,5.080619
0.31,18,5.080113
0.32,18,5.079607
0.33,18,5.0791006
0.34,18,5.078595
0.35,18,5.078089
0.36,18,5.077583
0.37,18,5.077077
0.38,18,5.0765705
0.39,18,5.076065
0.4,18,5.0755587
0.41,18,5.0750527
0.42,18,5.074547
0.43,18,5.075138
0.44,18,5.0774145
0.45,18,5.079691
0.46,18,5.0819674
0.47,18,5.084244
0.48,18,5.08652
0.49,18,5.0887966
0.5,18,5.0910726
0.51,18,5.093349
0.52,18,5.095626
0.53,18,5.0979023
0.54,18,5.1001787
0.55,18,5.1024547
0.56,18,5.104731
0.57,18,5.1080604
0.58,18,5.1131654
0.59,18,5.1181836
0.6,18,5.123188
0.61,18,5.1281934
0.62,18,5.133191
0.63,18,5.1381817
0.64,18,5.143171
0.65,18,5.148161
0.66,18,5.1531506
0.67,18,5.16234
0.68,18,5.1720386
0.69,18,5.181738
0.7,18,5.191437
0.71,18,5.203483
0.72,18,5.2161965
0.73,18,5.2289124
0.74,18,5.241626
0.75,18,5.2543397
0.76,18,5.2670536
0.77,18,5.2797675
0.78,18,5.2928324
0.79,18,5.3075304
0.8,18,5.3222294
0.81,18,5.336929
0.82,18,5.3516283
0.83,18,5.3663273
0.84,18,5.3810267
0.85,18,5.395726
0.86,18,5.416317
0.87,18,5.441697
0.88,18,5.4670787
0.89,18,5.4924593
0.9,18,5.5178404
0.91,18,5.54322
0.92,18,5.5686016
0.93,18,5.5939817
0.94,18,5.619307
0.95,18,5.64417
0.96,18,5.6690326
0.97,18,5.693895
0.98,18,5.7187576
0.99,18,5.74362
1.0,18,5.7684827
