distance,hour,fare
0.0,20,5.082756
0.01,20,5.0828214
0.02,20,5.0828867
0.03,20,5.0829535
0.04,20,5.083018
0.05,20,5.0830836
0.06,20,5.0831494
0.07,20,5.0832148
0.08,20,5.0832806
0.09,20,5.0833464
0.1,20,5.083412
0.11,20,5.083477
0.12,20,5.0835423
0.13,20,5.083608
0.14,20,5.0836735
0.15,20,5.0837398
0.16,20,5.083805
0.17,20,5.08387
0.18,20,5.0835133
0.19,20,5.083009
0.2,20,5.082502
0.21,20,5.081996
0.22,20,5.08149
0.23,20,5.0809836
0.24,20,5.0804777
0.25,20,5.079972
0.26,20,5.079466
0.27,20,5.0789604
0.28,20,5.078454
0.29,20,5.077948
0.3,20,5.077442
0.31,20,5.076936
0.32,20,5.0764294
0.33,20,5.075924
0.34,20,5.0754185
0.35,20,5.0749116
0.36,20,5.0744066
0.37,20,5.0739
0.38,20,5.074663
0.39,20,5.0769396
0.4,20,5.079215
0.41,20,5.081492
0.42,20,5.0837684
0.43,20,5.0860443
0.44,20,5.0883203
0.45,20,5.090597
0.46,20,5.0928726
0.47,20,5.0951495
0.48,20,5.0974264
0.49,20,5.099702
0.5,20,5.101979
0.51,20,5.1042557
0.52,20,5.106272
0.53,20,5.1075497
0.54,20,5.1088266
0.55,20,5.1101046
0.56,20,5.111382
0.57,20,5.1126595
0.58,20,5.1139374
0.59,20,5.115214
0.6,20,5.116491
0.61,20,5.1177692
0.62,20,5.121418
0.63,20,5.1270704
0.64,20,5.132722
0.65,20,5.1383753
0.66,20,5.144027
0.67,20,5.14968
0.68,20,5.1553326
0.69,20,5.1609845
0.7,20,5.166692
0.71,20,5.1748548
0.72,20,5.1830177
0.73,20,5.1922226
0.74,20,5.2018776
0.75,20,5.211533
0.76,20,5.2211885
0.77,20,5.2308445
0.78,20,5.2405005
0.79,20,5.250163
0.8,20,5.26048
0.81,20,5.2707953
0.82,20,5.2811117
0.83,20,5.2914295
0.84,20,5.3017454
0.85,20,5.3120613
0.86,20,5.322377
0.87,20,5.332694
0.88,20,5.344218
0.89,20,5.3616915
0.9,20,5.379158
0.91,20,5.396625
0.92,20,5.414091
0.93,20,5.4315586
0.94,20,5.453358
0.95,20,5.478539
0.96,20,5.5037203
0.97,20,5.529231
0.98,20,5.5550513
0.99,20,5.5806417
1.0,20,5.6062317
1.01,20,5.6318207
1.02,20,5.6574116
1.03,20,5.683001
1.04,20,5.7085905
1.05,20,5.7341814
1.06,20,5.7597713
1.07,20,5.785362
1.08,20,5.810951
1.09,20,5.8365417
1.1,20,5.862131
1.11,20,5.887721
1.12,20,5.913311
1.13,20,5.9389014
1.14,20,5.9644914
1.15,20,5.990082
1.16,20,6.0156717
1.17,20,6.041262
1.18,20,6.0668516
1.19,20,6.092442
1.2,20,6.1180315
1.21,20,6.1436214
1.22,20,6.1692114
1.23,20,6.1948023
1.24,20,6.2203918
1.25,20,6.245982
1.26,20,6.271572
1.27,20,6.297162
1.28,20,6.3227515
1.29,20,6.348342
1.3,20,6.3739324
1.31,20,6.399522
1.32,20,6.4251127
1.33,20,6.4507027
1.34,20,6.476292
1.35,20,6.501882
1.36,20,6.5274725
1.37,20,6.553062
1.38,20,6.5786524
1.39,20,6.604242
1.4,20,6.6298327
1.41,20,6.655422
1.42,20,6.681012
1.43,20,6.706602
1.44,20,6.7321925
1.45,20,6.7577825
1.46,20,6.7832365
1.47,20,6.8079696
1.48,20,6.8327017
1.49,20,6.857435
1.5,20,6.8821683
1.51,20,6.906901
1.52,20,6.931634
1.53,20,6.9563675
1.54,20,6.9811
1.55,20,7.0058327
1.56,20,7.030567
1.57,20,7.055298
1.58,20,7.0800304
1.59,20,7.104764
1.6,20,7.1294966
1.61,20,7.154231
1.62,20,7.1789637
1.63,20,7.2036953
1.64,20,7.228429
1.65,20,7.2531624
1.66,20,7.2778955
1.67,20,7.3026276
1.68,20,7.327361
1.69,20,7.352093
1.7,20,7.3768277
1.71,20,7.401559
1.72,20,7.4262924
1.73,20,7.451025
1.74,20,7.475759
1.75,20,7.50049
1.76,20,7.5252247
1.77,20,7.5490828
1.78,20,7.5727625
1.79,20,7.5964437
1.8,20,7.6201243
1.81,20,7.6438036
1.82,20,7.667485
1.83,20,7.6911654
1.84,20,7.7148457
1.85,20,7.7385263
1.86,20,7.762207
1.87,20,7.7858887
1.88,20,7.8077126
1.89,20,7.828952
1.9,20,7.8501925
1.91,20,7.8714333
1.92,20,7.8926725
1.93,20,7.9139137
1.94,20,7.935154
1.95,20,7.956396
1.96,20,7.9776363
1.97,20,7.9988766
1.98,20,8.020117
1.99,20,8.041357
2.0,20,8.062598
2.01,20,8.083839
2.02,20,8.105079
2.03,20,8.12632
2.04,20,8.14756
2.05,20,8.168801
2.06,20,8.190042
2.07,20,8.211282
2.08,20,8.232523
2.09,20,8.253762
2.1,20,8.2750025
2.11,20,8.296245
2.12,20,8.317485
2.13,20,8.338725
2.14,20,8.359966
2.15,20,8.3812065
2.16,20,8.402448
2.17,20,8.423688
2.18,20,8.44493
2.19,20,8.466168
2.2,20,8.487409
2.21,20,8.508649
2.22,20,8.529889
2.23,20,8.55113
2.24,20,8.5723715
2.25,20,8.593612
2.26,20,8.614852
2.27,20,8.636093
2.28,20,8.657334
2.29,20,8.678575
2.3,20,8.699815
2.31,20,8.721055
2.32,20,8.742296
2.33,20,8.763536
2.34,20,8.784777
2.35,20,8.804545
2.36,20,8.823682
2.37,20,8.842818
2.38,20,8.861955
2.39,20,8.881572
2.4,20,8.901441
2.41,20,8.921311
2.42,20,8.941179
2.43,20,8.96105
2.44,20,8.98092
2.45,20,9.00079
2.46,20,9.0206585
2.47,20,9.040529
2.48,20,9.060397
2.49,20,9.080269
2.5,20,9.100139
2.51,20,9.120008
2.52,20,9.140111
2.53,20,9.160634
2.54,20,9.181157
2.55,20,9.201681
2.56,20,9.222205
2.57,20,9.242728
2.58,20,9.263251
2.59,20,9.283775
2.6,20,9.304298
2.61,20,9.324823
2.62,20,9.3453455
2.63,20,9.365869
2.64,20,9.386392
2.65,20,9.406917
2.66,20,9.427441
2.67,20,9.447965
2.68,20,9.468488
2.69,20,9.489011
2.7,20,9.509534
2.71,20,9.530058
2.72,20,9.550582
2.73,20,9.571105
2.74,20,9.591629
2.75,20,9.612153
2.76,20,9.632675
2.77,20,9.653199
2.78,20,9.673723
2.79,20,9.694245
2.8,20,9.714769
2.81,20,9.735293
2.82,20,9.7558155
2.83,20,9.7763405
2.84,20,9.796864
2.85,20,9.817388
2.86,20,9.837911
2.87,20,9.858435
2.88,20,9.878959
2.89,20,9.899438
2.9,20,9.919909
2.91,20,9.940379
2.92,20,9.960851
2.93,20,9.981319
2.94,20,10.00179
2.95,20,10.02226
2.96,20,10.042732
2.97,20,10.063202
2.98,20,10.083672
2.99,20,10.103818
3.0,20,10.123951
3.01,20,10.144082
3.02,20,10.164212
3.03,20,10.184344
3.04,20,10.204476
3.05,20,10.2246065
3.06,20,10.244739
3.07,20,10.264867
3.08,20,10.285001
3.09,20,10.305131
3.1,20,10.325262
3.11,20,10.345393
3.12,20,10.365524
3.13,20,10.385656
3.14,20,10.405786
3.15,20,10.425919
3.16,20,10.446049
3.17,20,10.466182
3.18,20,10.486314
3.19,20,10.506444
3.2,20,10.526576
3.21,20,10.546706
3.22,20,10.566837
3.23,20,10.586968
3.24,20,10.607101
3.25,20,10.627232
3.26,20,10.647363
3.27,20,10.667493
3.28,20,10.687625
3.29,20,10.707757
3.3,20,10.727889
3.31,20,10.748019
3.32,20,10.76815
3.33,20,10.788281
3.34,20,10.808414
3.35,20,10.828544
3.36,20,10.848676
3.37,20,10.868807
3.38,20,10.888939
3.39,20,10.909068
3.4,20,10.9292
3.41,20,10.94933
3.42,20,10.969463
3.43,20,10.989593
3.44,20,11.009725
3.45,20,11.029855
3.46,20,11.049988
3.47,20,11.07012
3.48,20,11.090251
3.49,20,11.110383
3.5,20,11.130513
3.51,20,11.150645
3.52,20,11.170775
3.53,20,11.190907
3.54,20,11.210759
3.55,20,11.229812
3.56,20,11.248865
3.57,20,11.267919
3.58,20,11.286971
3.59,20,11.306024
3.6,20,11.325078
3.61,20,11.344131
3.62,20,11.363185
3.63,20,11.3822365
3.64,20,11.40129
3.65,20,11.420344
3.66,20,11.439397
3.67,20,11.458449
3.68,20,11.477504
3.69,20,11.496557
3.7,20,11.515609
3.71,20,11.534692
3.72,20,11.553928
3.73,20,11.573166
3.74,20,11.592402
3.75,20,11.611639
3.76,20,11.6308775
3.77,20,11.650113
3.78,20,11.669352
3.79,20,11.688587
3.8,20,11.707824
3.81,20,11.727062
3.82,20,11.746299
3.83,20,11.765535
3.84,20,11.784774
3.85,20,11.80401
3.86,20,11.823249
3.87,20,11.8424835
3.88,20,11.861721
3.89,20,11.880958
3.9,20,11.900195
3.91,20,11.919433
3.92,20,11.93867
3.93,20,11.957907
3.94,20,11.977143
3.95,20,11.99638
3.96,20,12.015618
3.97,20,12.034854
3.98,20,12.05409
3.99,20,12.073329
4.0,20,12.092565
4.01,20,12.111802
4.02,20,12.131041
4.03,20,12.150276
4.04,20,12.169515
4.05,20,12.188752
4.06,20,12.207988
4.07,20,12.227226
4.08,20,12.246463
4.09,20,12.2657
4.1,20,12.284935
4.11,20,12.304175
4.12,20,12.323411
4.13,20,12.342648
4.14,20,12.361884
4.15,20,12.381123
4.16,20,12.400358
4.17,20,12.419596
4.18,20,12.438833
4.19,20,12.457767
4.2,20,12.476019
4.21,20,12.492269
4.22,20,12.508519
4.23,20,12.524769
4.24,20,12.5410185
4.25,20,12.557268
4.26,20,12.57722
4.27,20,12.597268
4.28,20,12.617314
4.29,20,12.637362
4.3,20,12.657412
4.31,20,12.677457
4.32,20,12.697506
4.33,20,12.717554
4.34,20,12.737604
4.35,20,12.757649
4.36,20,12.7777
4.37,20,12.797749
4.38,20,12.817796
4.39,20,12.837842
4.4,20,12.85789
4.41,20,12.877938
4.42,20,12.897987
4.43,20,12.918034
4.44,20,12.938084
4.45,20,12.958132
4.46,20,12.978179
4.47,20,12.998227
4.48,20,13.018275
4.49,20,13.038322
4.5,20,13.058371
4.51,20,13.07842
4.52,20,13.098467
4.53,20,13.118517
4.54,20,13.138564
4.55,20,13.158612
4.56,20,13.178659
4.57,20,13.198709
4.58,20,13.218757
4.59,20,13.238805
4.6,20,13.258851
4.61,20,13.278899
4.62,20,13.298947
4.63,20,13.318996
4.64,20,13.339046
4.65,20,13.359091
4.66,20,13.37914
4.67,20,13.399189
4.68,20,13.419234
4.69,20,13.439283
4.7,20,13.4593315
4.71,20,13.47938
4.72,20,13.49943
4.73,20,13.519477
4.74,20,13.539524
4.75,20,13.559573
4.76,20,13.579619
4.77,20,13.599668
4.78,20,13.619715
4.79,20,13.639764
4.8,20,13.659205
4.81,20,13.67855
4.82,20,13.697895
4.83,20,13.71724
4.84,20,13.736583
4.85,20,13.755928
4.86,20,13.775273
4.87,20,13.794614
4.88,20,13.813959
4.89,20,13.833304
4.9,20,13.852649
4.91,20,13.871991
4.92,20,13.8913355
4.93,20,13.910682
4.94,20,13.930023
4.95,20,13.949368
4.96,20,13.968711
4.97,20,13.988057
4.98,20,14.0074
4.99,20,14.026746
5.0,20,14.046088
5.01,20,14.065433
5.02,20,14.084776
5.03,20,14.104121
5.04,20,14.123466
5.05,20,14.142809
5.06,20,14.162152
5.07,20,14.181497
5.08,20,14.200839
5.09,20,14.221055
5.1,20,14.246009
5.11,20,14.270964
5.12,20,14.295916
5.13,20,14.32087
5.14,20,14.345823
5.15,20,14.370778
5.16,20,14.395728
5.17,20,14.420684
5.18,20,14.445636
5.19,20,14.47059
5.2,20,14.495542
5.21,20,14.520496
5.22,20,14.545447
5.23,20,14.570401
5.24,20,14.595357
5.25,20,14.620307
5.26,20,14.645259
5.27,20,14.670215
5.28,20,14.695167
5.29,20,14.720122
5.3,20,14.745072
5.31,20,14.770025
5.32,20,14.794979
5.33,20,14.819934
5.34,20,14.844884
5.35,20,14.869842
5.36,20,14.894793
5.37,20,14.919745
5.38,20,14.9447
5.39,20,14.969653
5.4,20,14.994607
5.41,20,15.01956
5.42,20,15.044511
5.43,20,15.069465
5.44,20,15.094419
5.45,20,15.11937
5.46,20,15.144326
5.47,20,15.169278
5.48,20,15.194232
5.49,20,15.2190695
5.5,20,15.243457
5.51,20,15.267845
5.52,20,15.292233
5.53,20,15.316621
5.54,20,15.34101
5.55,20,15.365396
5.56,20,15.389783
5.57,20,15.41417
5.58,20,15.43856
5.59,20,15.462946
5.6,20,15.487332
5.61,20,15.51172
5.62,20,15.536107
5.63,20,15.560498
5.64,20,15.584886
5.65,20,15.609273
5.66,20,15.633604
5.67,20,15.657638
5.68,20,15.681674
5.69,20,15.705708
5.7,20,15.72974
5.71,20,15.753775
5.72,20,15.777808
5.73,20,15.801852
5.74,20,15.825896
5.75,20,15.849941
5.76,20,15.873983
5.77,20,15.898026
5.78,20,15.922072
5.79,20,15.946113
5.8,20,15.970158
5.81,20,15.994201
5.82,20,16.018246
5.83,20,16.04229
5.84,20,16.066332
5.85,20,16.090376
5.86,20,16.114418
5.87,20,16.138462
5.88,20,16.162506
5.89,20,16.18655
5.9,20,16.210592
5.91,20,16.234634
5.92,20,16.258678
5.93,20,16.282724
5.94,20,16.306767
5.95,20,16.33081
5.96,20,16.354853
5.97,20,16.378899
5.98,20,16.40294
5.99,20,16.426987
6.0,20,16.451029
6.01,20,16.475101
6.02,20,16.499186
6.03,20,16.52327
6.04,20,16.547358
6.05,20,16.571442
6.06,20,16.595524
6.07,20,16.61961
6.08,20,16.643696
6.09,20,16.667782
6.1,20,16.691864
6.11,20,16.71595
6.12,20,16.740034
6.13,20,16.76412
6.14,20,16.788206
6.15,20,16.81229
6.16,20,16.836376
6.17,20,16.860462
6.18,20,16.884548
6.19,20,16.90863
6.2,20,16.932714
6.21,20,16.956198
6.22,20,16.979633
6.23,20,17.003073
6.24,20,17.026508
6.25,20,17.049946
6.26,20,17.073381
6.27,20,17.096817
6.28,20,17.120256
6.29,20,17.143692
6.3,20,17.16713
6.31,20,17.190567
6.32,20,17.214006
6.33,20,17.237442
6.34,20,17.260878
6.35,20,17.284328
6.36,20,17.307781
6.37,20,17.331234
6.38,20,17.354687
6.39,20,17.378143
6.4,20,17.401594
6.41,20,17.425047
6.42,20,17.448503
6.43,20,17.471956
6.44,20,17.495409
6.45,20,17.51886
6.46,20,17.542315
6.47,20,17.56577
6.48,20,17.58922
6.49,20,17.61267
6.5,20,17.63613
6.51,20,17.659582
6.52,20,17.683033
6.53,20,17.70649
6.54,20,17.729942
6.55,20,17.753397
6.56,20,17.776848
6.57,20,17.800303
6.58,20,17.823755
6.59,20,17.84721
6.6,20,17.870663
6.61,20,17.894115
6.62,20,17.917568
6.63,20,17.941021
6.64,20,17.964474
6.65,20,17.98793
6.66,20,18.011383
6.67,20,18.034838
6.68,20,18.058289
6.69,20,18.08174
6.7,20,18.105194
6.71,20,18.12865
6.72,20,18.152105
6.73,20,18.175556
6.74,20,18.19901
6.75,20,18.222462
6.76,20,18.245913
6.77,20,18.26937
6.78,20,18.292822
6.79,20,18.316277
6.8,20,18.33973
6.81,20,18.363182
6.82,20,18.386635
6.83,20,18.410091
6.84,20,18.433542
6.85,20,18.456995
6.86,20,18.480452
6.87,20,18.503902
6.88,20,18.527355
6.89,20,18.55081
6.9,20,18.574263
6.91,20,18.597715
6.92,20,18.621172
6.93,20,18.644623
6.94,20,18.668076
6.95,20,18.691532
6.96,20,18.714983
6.97,20,18.738438
6.98,20,18.761889
6.99,20,18.785341
7.0,20,18.808798
7.01,20,18.83225
7.02,20,18.855701
7.03,20,18.879158
7.04,20,18.902613
7.05,20,18.926062
7.06,20,18.949516
7.07,20,18.97297
7.08,20,18.996424
7.09,20,19.019878
7.1,20,19.043331
7.11,20,19.066784
7.12,20,19.090235
7.13,20,19.113691
7.14,20,19.137138
7.15,20,19.160597
7.16,20,19.184736
7.17,20,19.209232
7.18,20,19.23373
7.19,20,19.258228
7.2,20,19.282726
7.21,20,19.307226
7.22,20,19.331726
7.23,20,19.356224
7.24,20,19.380718
7.25,20,19.405218
7.26,20,19.429716
7.27,20,19.454212
7.28,20,19.478708
7.29,20,19.503206
7.3,20,19.527704
7.31,20,19.552202
7.32,20,19.576702
7.33,20,19.601198
7.34,20,19.625698
7.35,20,19.650196
7.36,20,19.67469
7.37,20,19.69919
7.38,20,19.723686
7.39,20,19.748186
7.4,20,19.772682
7.41,20,19.797182
7.42,20,19.821678
7.43,20,19.846178
7.44,20,19.870674
7.45,20,19.895176
7.46,20,19.91967
7.47,20,19.944166
7.48,20,19.968666
7.49,20,19.993164
7.5,20,20.017662
7.51,20,20.04216
7.52,20,20.066656
7.53,20,20.091156
7.54,20,20.11565
7.55,20,20.14015
7.56,20,20.16465
7.57,20,20.189144
7.58,20,20.213646
7.59,20,20.23814
7.6,20,20.26264
7.61,20,20.287136
7.62,20,20.311632
7.63,20,20.336134
7.64,20,20.36063
7.65,20,20.385128
7.66,20,20.409622
7.67,20,20.434122
7.68,20,20.458622
7.69,20,20.483116
7.7,20,20.507618
7.71,20,20.532116
7.72,20,20.55661
7.73,20,20.581108
7.74,20,20.60561
7.75,20,20.630106
7.76,20,20.654606
7.77,20,20.679102
7.78,20,20.7036
7.79,20,20.728096
7.8,20,20.752594
7.81,20,20.777092
7.82,20,20.801588
7.83,20,20.826092
7.84,20,20.850586
7.85,20,20.875084
7.86,20,20.89958
7.87,20,20.92408
7.88,20,20.948578
7.89,20,20.973074
7.9,20,20.997574
7.91,20,21.022074
7.92,20,21.04657
7.93,20,21.071064
7.94,20,21.095562
7.95,20,21.12006
7.96,20,21.14456
7.97,20,21.169056
7.98,20,21.193554
7.99,20,21.218052
8.0,20,21.24255
8.01,20,21.267048
8.02,20,21.291542
8.03,20,21.316044
8.04,20,21.340542
8.05,20,21.365038
8.06,20,21.389538
8.07,20,21.414036
8.08,20,21.438536
8.09,20,21.463032
8.1,20,21.48753
8.11,20,21.512028
8.12,20,21.536522
8.13,20,21.561018
8.14,20,21.58552
8.15,20,21.610016
8.16,20,21.634514
8.17,20,21.659014
8.18,20,21.683512
8.19,20,21.70801
8.2,20,21.732506
8.21,20,21.757004
8.22,20,21.781502
8.23,20,21.806
8.24,20,21.830498
8.25,20,21.855001
8.26,20,21.879492
8.27,20,21.90399
8.28,20,21.928493
8.29,20,21.95299
8.3,20,21.977484
8.31,20,22.001986
8.32,20,22.024693
8.33,20,22.04715
8.34,20,22.069605
8.35,20,22.092056
8.36,20,22.114513
8.37,20,22.136967
8.38,20,22.159424
