distance,hour,fare
0.0,11,4.6587734
0.01,11,4.662035
0.02,11,4.6652966
0.03,11,4.6685586
0.04,11,4.6718206
0.05,11,4.6750827
0.06,11,4.678344
0.07,11,4.6816063
0.08,11,4.684868
0.09,11,4.6881294
0.1,11,4.6913915
0.11,11,4.6946535
0.12,11,4.697915
0.13,11,4.7011766
0.14,11,4.704438
0.15,11,4.7077003
0.16,11,4.7109623
0.17,11,4.714224
0.18,11,4.7174854
0.19,11,4.7207475
0.2,11,4.7240086
0.21,11,4.727271
0.22,11,4.7305326
0.23,11,4.7337937
0.24,11,4.7370563
0.25,11,4.7403183
0.26,11,4.74358
0.27,11,4.7468414
0.28,11,4.7498984
0.29,11,4.7525682
0.3,11,4.7552385
0.31,11,4.757909
0.32,11,4.760579
0.33,11,4.763249
0.34,11,4.7659197
0.35,11,4.7685895
0.36,11,4.77126
0.37,11,4.7739296
0.38,11,4.7766
0.39,11,4.7792697
0.4,11,4.7819405
0.41,11,4.7846103
0.42,11,4.7872806
0.43,11,4.789951
0.44,11,4.7926207
0.45,11,4.7952914
0.46,11,4.7985773
0.47,11,4.8019423
0.48,11,4.805307
0.49,11,4.8086724
0.5,11,4.8120375
0.51,11,4.815402
0.52,11,4.818767
0.53,11,4.8221316
0.54,11,4.8254976
0.55,11,4.828862
0.56,11,4.832227
0.57,11,4.8355923
0.58,11,4.8389573
0.59,11,4.8423223
0.6,11,4.845687
0.61,11,4.8490524
0.62,11,4.852417
0.63,11,4.855782
0.64,11,4.8591466
0.65,11,4.8625965
0.66,11,4.8660603
0.67,11,4.869524
0.68,11,4.872988
0.69,11,4.8764505
0.7,11,4.8799148
0.71,11,4.883914
0.72,11,4.887937
0.73,11,4.8921094
0.74,11,4.8967032
0.75,11,4.9012985
0.76,11,4.9058933
0.77,11,4.910487
0.78,11,4.921666
0.79,11,4.9336376
0.8,11,4.9456105
0.81,11,4.957582
0.82,11,4.9695544
0.83,11,4.9809713
0.84,11,4.992043
0.85,11,5.0031137
0.86,11,5.0141845
0.87,11,5.025256
0.88,11,5.036328
0.89,11,5.047399
0.9,11,5.0584702
0.91,11,5.069542
0.92,11,5.0806127
0.93,11,5.0916843
0.94,11,5.102755
0.95,11,5.1138263
0.96,11,5.1248975
0.97,11,5.145482
0.98,11,5.166198
0.99,11,5.1869135
1.0,11,5.2076287
1.01,11,5.2283444
1.02,11,5.2490597
1.03,11,5.2697754
1.04,11,5.29049
1.05,11,5.311207
1.06,11,5.331922
1.07,11,5.3526363
1.08,11,5.373353
1.09,11,5.394068
1.1,11,5.415117
1.11,11,5.436269
1.12,11,5.458002
1.13,11,5.480356
1.14,11,5.5027103
1.15,11,5.5250654
1.16,11,5.5480766
1.17,11,5.571336
1.18,11,5.594595
1.19,11,5.617853
1.2,11,5.6411114
1.21,11,5.6643705
1.22,11,5.6876287
1.23,11,5.710888
1.24,11,5.7341466
1.25,11,5.757405
1.26,11,5.7806635
1.27,11,5.803921
1.28,11,5.8271794
1.29,11,5.8504395
1.3,11,5.873698
1.31,11,5.8969564
1.32,11,5.9202156
1.33,11,5.943474
1.34,11,5.966732
1.35,11,5.989991
1.36,11,6.01325
1.37,11,6.0365086
1.38,11,6.059767
1.39,11,6.083026
1.4,11,6.106284
1.41,11,6.1310234
1.42,11,6.157522
1.43,11,6.1840224
1.44,11,6.2105217
1.45,11,6.237021
1.46,11,6.263521
1.47,11,6.29002
1.48,11,6.3165197
1.49,11,6.34302
1.5,11,6.3695183
1.51,11,6.396019
1.52,11,6.422518
1.53,11,6.449017
1.54,11,6.4755173
1.55,11,6.502016
1.56,11,6.5285535
1.57,11,6.555373
1.58,11,6.5821934
1.59,11,6.6090145
1.6,11,6.635834
1.61,11,6.6626544
1.62,11,6.689475
1.63,11,6.7162952
1.64,11,6.7431154
1.65,11,6.7699366
1.66,11,6.7967553
1.67,11,6.823576
1.68,11,6.850396
1.69,11,6.8772173
1.7,11,6.9040365
1.71,11,6.9308567
1.72,11,6.9576774
1.73,11,6.984497
1.74,11,7.0113173
1.75,11,7.0381374
1.76,11,7.0649586
1.77,11,7.09268
1.78,11,7.122235
1.79,11,7.1517897
1.8,11,7.181344
1.81,11,7.2108994
1.82,11,7.2404547
1.83,11,7.270008
1.84,11,7.2995644
1.85,11,7.3291187
1.86,11,7.3586726
1.87,11,7.388229
1.88,11,7.417783
1.89,11,7.447339
1.9,11,7.4768915
1.91,11,7.5064473
1.92,11,7.536002
1.93,11,7.5655575
1.94,11,7.5957184
1.95,11,7.6261506
1.96,11,7.656584
1.97,11,7.6870146
1.98,11,7.7174478
1.99,11,7.747879
2.0,11,7.7783117
2.01,11,7.8087435
2.02,11,7.839175
2.03,11,7.8696084
2.04,11,7.9000406
2.05,11,7.9304714
2.06,11,7.960905
2.07,11,7.9913373
2.08,11,8.021769
2.09,11,8.0522
2.1,11,8.082633
2.11,11,8.113066
2.12,11,8.1434965
2.13,11,8.173928
2.14,11,8.204361
2.15,11,8.234794
2.16,11,8.26522
2.17,11,8.295487
2.18,11,8.325754
2.19,11,8.35602
2.2,11,8.386288
2.21,11,8.416554
2.22,11,8.446821
2.23,11,8.477088
2.24,11,8.507355
2.25,11,8.537621
2.26,11,8.567887
2.27,11,8.598155
2.28,11,8.628421
2.29,11,8.658689
2.3,11,8.688955
2.31,11,8.71922
2.32,11,8.749489
2.33,11,8.779755
2.34,11,8.810022
2.35,11,8.840288
2.36,11,8.870555
2.37,11,8.900823
2.38,11,8.931088
2.39,11,8.961354
2.4,11,8.991621
2.41,11,9.021888
2.42,11,9.0521555
2.43,11,9.082282
2.44,11,9.111318
2.45,11,9.140355
2.46,11,9.165137
2.47,11,9.189817
2.48,11,9.2144985
2.49,11,9.237546
2.5,11,9.259034
2.51,11,9.280524
2.52,11,9.3020115
2.53,11,9.323501
2.54,11,9.344989
2.55,11,9.366477
2.56,11,9.387965
2.57,11,9.409455
2.58,11,9.4309435
2.59,11,9.452431
2.6,11,9.47392
2.61,11,9.495406
2.62,11,9.5180235
2.63,11,9.542541
2.64,11,9.567058
2.65,11,9.591576
2.66,11,9.616091
2.67,11,9.64061
2.68,11,9.665125
2.69,11,9.689641
2.7,11,9.714158
2.71,11,9.738675
2.72,11,9.763192
2.73,11,9.787023
2.74,11,9.810745
2.75,11,9.834468
