distance,hour,fare
0.0,12,4.576992
0.01,12,4.5808268
0.02,12,4.584662
0.03,12,4.588497
0.04,12,4.5923324
0.05,12,4.5961676
0.06,12,4.6000023
0.07,12,4.6038375
0.08,12,4.6076727
0.09,12,4.6115084
0.1,12,4.6153426
0.11,12,4.6191783
0.12,12,4.6230135
0.13,12,4.626849
0.14,12,4.630684
0.15,12,4.634519
0.16,12,4.6383543
0.17,12,4.642189
0.18,12,4.646024
0.19,12,4.6498594
0.2,12,4.6536956
0.21,12,4.6575303
0.22,12,4.6613655
0.23,12,4.6651993
0.24,12,4.6690354
0.25,12,4.6728706
0.26,12,4.676706
0.27,12,4.680541
0.28,12,4.684376
0.29,12,4.6882114
0.3,12,4.692046
0.31,12,4.695881
0.32,12,4.6997166
0.33,12,4.703552
0.34,12,4.707387
0.35,12,4.7112226
0.36,12,4.7150574
0.37,12,4.7188926
0.38,12,4.7227564
0.39,12,4.7272863
0.4,12,4.731817
0.41,12,4.736347
0.42,12,4.7408776
0.43,12,4.745407
0.44,12,4.749937
0.45,12,4.754467
0.46,12,4.758997
0.47,12,4.7635274
0.48,12,4.768057
0.49,12,4.772587
0.5,12,4.777117
0.51,12,4.7816467
0.52,12,4.786177
0.53,12,4.790707
0.54,12,4.7952366
0.55,12,4.7997675
0.56,12,4.804297
0.57,12,4.808827
0.58,12,4.813357
0.59,12,4.8178864
0.6,12,4.8224173
0.61,12,4.8269467
0.62,12,4.831476
0.63,12,4.8360066
0.64,12,4.8405366
0.65,12,4.845093
0.66,12,4.849655
0.67,12,4.8542185
0.68,12,4.8587804
0.69,12,4.8630867
0.7,12,4.867174
0.71,12,4.8712616
0.72,12,4.8753486
0.73,12,4.8794355
0.74,12,4.883523
0.75,12,4.887611
0.76,12,4.891698
0.77,12,4.8957853
0.78,12,4.8998723
0.79,12,4.9098716
0.8,12,4.9225307
0.81,12,4.9353876
0.82,12,4.9482555
0.83,12,4.961125
0.84,12,4.973679
0.85,12,4.985923
0.86,12,4.9981685
0.87,12,5.0104127
0.88,12,5.0325656
0.89,12,5.0559444
0.9,12,5.0793242
0.91,12,5.102703
0.92,12,5.124926
0.93,12,5.1464033
0.94,12,5.1678805
0.95,12,5.189358
0.96,12,5.2108355
0.97,12,5.232313
0.98,12,5.2537904
0.99,12,5.2752676
1.0,12,5.296745
1.01,12,5.318222
1.02,12,5.3396997
1.03,12,5.3611765
1.04,12,5.3826547
1.05,12,5.404132
1.06,12,5.4256096
1.07,12,5.4473925
1.08,12,5.4700723
1.09,12,5.4927526
1.1,12,5.516203
1.11,12,5.5397816
1.12,12,5.5633607
1.13,12,5.586941
1.14,12,5.610519
1.15,12,5.634099
1.16,12,5.660808
1.17,12,5.6876283
1.18,12,5.7144485
1.19,12,5.741268
1.2,12,5.7680883
1.21,12,5.7949085
1.22,12,5.8217297
1.23,12,5.848551
1.24,12,5.87537
1.25,12,5.9045086
1.26,12,5.9340644
1.27,12,5.963619
1.28,12,5.993173
1.29,12,6.0227284
1.3,12,6.0522833
1.31,12,6.081838
1.32,12,6.111393
1.33,12,6.1409473
1.34,12,6.1705017
1.35,12,6.2000566
1.36,12,6.2296114
1.37,12,6.2591667
1.38,12,6.2887216
1.39,12,6.318276
1.4,12,6.3478312
1.41,12,6.377386
1.42,12,6.4069405
1.43,12,6.436496
1.44,12,6.46605
1.45,12,6.4956055
1.46,12,6.52516
1.47,12,6.554715
1.48,12,6.5842695
1.49,12,6.613825
1.5,12,6.643313
1.51,12,6.6727247
1.52,12,6.7021375
1.53,12,6.73155
1.54,12,6.7609625
1.55,12,6.7903757
1.56,12,6.819787
1.57,12,6.8492002
1.58,12,6.878612
1.59,12,6.908025
1.6,12,6.9374366
1.61,12,6.9668503
1.62,12,6.996262
1.63,12,7.0256743
1.64,12,7.0550866
1.65,12,7.0844994
1.66,12,7.1139116
1.67,12,7.1433244
