distance,hour,fare
0.0,8,4.530575
0.01,8,4.5335245
0.02,8,4.5364747
0.03,8,4.539424
0.04,8,4.5423737
0.05,8,4.5453234
0.06,8,4.548273
0.07,8,4.550918
0.08,8,4.5535398
0.09,8,4.556163
0.1,8,4.5587835
0.11,8,4.5614057
0.12,8,4.564028
0.13,8,4.56665
0.14,8,4.569271
0.15,8,4.571894
0.16,8,4.574516
0.17,8,4.577138
0.18,8,4.5797596
0.19,8,4.5823817
0.2,8,4.5850034
0.21,8,4.587626
0.22,8,4.590247
0.23,8,4.5928693
0.24,8,4.5954914
0.25,8,4.598114
0.26,8,4.6007357
0.27,8,4.603358
0.28,8,4.605979
0.29,8,4.6086016
0.3,8,4.611224
0.31,8,4.6138453
0.32,8,4.6164675
0.33,8,4.6190896
0.34,8,4.6217113
0.35,8,4.6243334
0.36,8,4.6269555
0.37,8,4.629577
0.38,8,4.632199
0.39,8,4.6348214
0.4,8,4.6374435
0.41,8,4.640065
0.42,8,4.642687
0.43,8,4.645309
0.44,8,4.64793
0.45,8,4.6505527
0.46,8,4.653176
0.47,8,4.655797
0.48,8,4.6584196
0.49,8,4.6610413
0.5,8,4.6636634
0.51,8,4.666285
0.52,8,4.668907
0.53,8,4.671529
0.54,8,4.674151
0.55,8,4.6767726
0.56,8,4.6793947
0.57,8,4.682017
0.58,8,4.684639
0.59,8,4.6872606
0.6,8,4.6898828
0.61,8,4.6925044
0.62,8,4.6951265
0.63,8,4.697748
0.64,8,4.7003703
0.65,8,4.702993
0.66,8,4.705615
0.67,8,4.7082367
0.68,8,4.7108583
0.69,8,4.7134805
0.7,8,4.7161026
0.71,8,4.7187243
0.72,8,4.721347
0.73,8,4.723968
0.74,8,4.7303104
0.75,8,4.7408953
0.76,8,4.751479
0.77,8,4.7620625
0.78,8,4.772647
0.79,8,4.783232
0.8,8,4.7938166
0.81,8,4.8044004
0.82,8,4.8149853
0.83,8,4.8255687
0.84,8,4.8361545
0.85,8,4.8467383
0.86,8,4.8574486
0.87,8,4.8686767
0.88,8,4.880187
0.89,8,4.892187
0.9,8,4.903266
0.91,8,4.9138293
0.92,8,4.9243927
0.93,8,4.9349556
0.94,8,4.9455185
0.95,8,4.956081
0.96,8,4.9666443
0.97,8,4.977208
0.98,8,4.987771
0.99,8,4.998334
1.0,8,5.00904
1.01,8,5.0198045
1.02,8,5.030569
1.03,8,5.041333
1.04,8,5.0520973
1.05,8,5.0628614
1.06,8,5.0736265
1.07,8,5.084391
1.08,8,5.0951557
1.09,8,5.10592
1.1,8,5.116684
1.11,8,5.1274486
1.12,8,5.1382127
1.13,8,5.1489778
1.14,8,5.1597414
1.15,8,5.170506
1.16,8,5.18127
1.17,8,5.1920342
1.18,8,5.202799
1.19,8,5.224333
1.2,8,5.246331
1.21,8,5.267646
1.22,8,5.287514
1.23,8,5.3073826
1.24,8,5.327252
1.25,8,5.3471203
1.26,8,5.3669887
1.27,8,5.3868575
1.28,8,5.407278
1.29,8,5.4287357
1.3,8,5.4501925
1.31,8,5.4716477
1.32,8,5.493105
1.33,8,5.5145617
1.34,8,5.5360184
1.35,8,5.557476
1.36,8,5.578932
1.37,8,5.600388
1.38,8,5.6239014
1.39,8,5.6488547
1.4,8,5.673807
1.41,8,5.6987596
