distance,hour,fare
0.0,5,4.2846174
0.01,5,4.2861743
0.02,5,4.28773
0.03,5,4.2892847
0.04,5,4.290841
0.05,5,4.2923965
0.06,5,4.293952
0.07,5,4.2955074
0.08,5,4.2970634
0.09,5,4.2986174
0.1,5,4.3001738
0.11,5,4.301729
0.12,5,4.3032846
0.13,5,4.304841
0.14,5,4.3063965
0.15,5,4.307953
0.16,5,4.3095083
0.17,5,4.3110633
0.18,5,4.3126187
0.19,5,4.3141747
0.2,5,4.315729
0.21,5,4.317285
0.22,5,4.3188415
0.23,5,4.320484
0.24,5,4.3224797
0.25,5,4.324474
0.26,5,4.326469
0.27,5,4.328463
0.28,5,4.3304577
0.29,5,4.332453
0.3,5,4.3344474
0.31,5,4.3364425
0.32,5,4.338437
0.33,5,4.3404326
0.34,5,4.3424263
0.35,5,4.3444214
0.36,5,4.346416
0.37,5,4.348411
0.38,5,4.3504057
0.39,5,4.3524003
0.4,5,4.354395
0.41,5,4.356389
0.42,5,4.358384
0.43,5,4.3603787
0.44,5,4.362374
0.45,5,4.3643684
0.46,5,4.366363
0.47,5,4.3683577
0.48,5,4.3703527
0.49,5,4.372347
0.5,5,4.374342
0.51,5,4.376337
0.52,5,4.3783317
0.53,5,4.3803263
0.54,5,4.3823214
0.55,5,4.3843155
0.56,5,4.386311
0.57,5,4.3883047
0.58,5,4.3903
0.59,5,4.3922944
0.6,5,4.39429
0.61,5,4.396284
0.62,5,4.3982787
0.63,5,4.400274
0.64,5,4.4022684
0.65,5,4.404263
0.66,5,4.4062586
0.67,5,4.40851
0.68,5,4.41154
0.69,5,4.41457
0.7,5,4.4179697
0.71,5,4.4298515
0.72,5,4.4417334
0.73,5,4.4536166
0.74,5,4.465499
0.75,5,4.477381
0.76,5,4.4892645
0.77,5,4.5011463
0.78,5,4.513029
0.79,5,4.524911
0.8,5,4.536794
0.81,5,4.5486765
0.82,5,4.5605583
0.83,5,4.5724416
0.84,5,4.584325
0.85,5,4.5962057
0.86,5,4.6080885
0.87,5,4.619972
0.88,5,4.631854
0.89,5,4.643736
0.9,5,4.6556187
0.91,5,4.6675005
0.92,5,4.6793838
0.93,5,4.691266
0.94,5,4.703148
0.95,5,4.7150307
0.96,5,4.726913
0.97,5,4.7377987
0.98,5,4.747993
0.99,5,4.7581873
1.0,5,4.768382
1.01,5,4.7785764
1.02,5,4.7887697
1.03,5,4.7989655
1.04,5,4.8091593
1.05,5,4.8193536
1.06,5,4.830064
1.07,5,4.8409233
1.08,5,4.851784
1.09,5,4.862645
1.1,5,4.8735056
1.11,5,4.8843665
1.12,5,4.895227
1.13,5,4.9060874
1.14,5,4.9169474
1.15,5,4.927808
1.16,5,4.9386683
1.17,5,4.949529
1.18,5,4.96039
1.19,5,4.9712505
1.2,5,4.9817877
1.21,5,4.992217
1.22,5,5.0026464
1.23,5,5.013076
1.24,5,5.023506
1.25,5,5.033974
1.26,5,5.046012
1.27,5,5.0580497
1.28,5,5.0700874
1.29,5,5.0821257
1.3,5,5.0941644
1.31,5,5.106202
1.32,5,5.1182404
1.33,5,5.1302786
1.34,5,5.142316
1.35,5,5.154355
1.36,5,5.168934
1.37,5,5.190477
1.38,5,5.212017
1.39,5,5.233559
1.4,5,5.255101
1.41,5,5.276643
1.42,5,5.298185
1.43,5,5.319726
1.44,5,5.3412685
1.45,5,5.36281
1.46,5,5.3843517
1.47,5,5.4058933
1.48,5,5.4274354
1.49,5,5.4489765
1.5,5,5.470518
1.51,5,5.4920597
1.52,5,5.5136023
1.53,5,5.535144
1.54,5,5.5582967
1.55,5,5.5816193
1.56,5,5.6049414
1.57,5,5.6282644
1.58,5,5.6515856
1.59,5,5.6749077
1.6,5,5.6982317
1.61,5,5.721554
1.62,5,5.744876
1.63,5,5.768198
1.64,5,5.7915215
1.65,5,5.8148437
1.66,5,5.838167
1.67,5,5.8614883
1.68,5,5.884811
1.69,5,5.908134
1.7,5,5.9314556
1.71,5,5.954778
1.72,5,5.9803214
1.73,5,6.007222
1.74,5,6.0341244
1.75,5,6.0610275
1.76,5,6.0879297
1.77,5,6.114832
1.78,5,6.141735
1.79,5,6.168638
1.8,5,6.1955395
1.81,5,6.222442
1.82,5,6.249345
1.83,5,6.276247
1.84,5,6.3031487
1.85,5,6.3300514
1.86,5,6.356953
1.87,5,6.383856
1.88,5,6.410758
1.89,5,6.437659
1.9,5,6.4645634
1.91,5,6.4914656
1.92,5,6.5183673
1.93,5,6.5452695
1.94,5,6.572172
1.95,5,6.5990753
1.96,5,6.6259766
1.97,5,6.652879
1.98,5,6.679781
1.99,5,6.706684
2.0,5,6.733586
2.01,5,6.7604895
2.02,5,6.787392
2.03,5,6.814294
2.04,5,6.8411965
2.05,5,6.868099
2.06,5,6.8950005
2.07,5,6.9219027
2.08,5,6.948804
2.09,5,6.975706
2.1,5,7.0026107
2.11,5,7.029513
2.12,5,7.0564156
2.13,5,7.0833178
2.14,5,7.11022
2.15,5,7.1371226
2.16,5,7.1640244
2.17,5,7.1909275
2.18,5,7.217829
2.19,5,7.2447314
2.2,5,7.2702546
2.21,5,7.2948484
2.22,5,7.319443
2.23,5,7.344037
2.24,5,7.3686304
2.25,5,7.3932257
2.26,5,7.417819
2.27,5,7.4424143
2.28,5,7.4670076
2.29,5,7.491603
2.3,5,7.516197
2.31,5,7.5407906
2.32,5,7.565387
2.33,5,7.589978
2.34,5,7.6145735
2.35,5,7.6391687
2.36,5,7.663764
2.37,5,7.6883574
2.38,5,7.7129517
2.39,5,7.736293
2.4,5,7.7583127
2.41,5,7.7803307
2.42,5,7.802347
2.43,5,7.824366
2.44,5,7.846384
2.45,5,7.8684044
2.46,5,7.8904214
2.47,5,7.9124384
2.48,5,7.934458
2.49,5,7.9564767
2.5,5,7.978494
2.51,5,8.000511
2.52,5,8.022531
2.53,5,8.044549
2.54,5,8.066567
2.55,5,8.088586
2.56,5,8.110603
2.57,5,8.132623
2.58,5,8.15464
2.59,5,8.176659
2.6,5,8.198678
2.61,5,8.2206955
2.62,5,8.242713
2.63,5,8.264732
2.64,5,8.286751
2.65,5,8.308768
2.66,5,8.330787
2.67,5,8.352804
2.68,5,8.374824
2.69,5,8.396842
2.7,5,8.41886
2.71,5,8.440878
2.72,5,8.462897
2.73,5,8.484915
2.74,5,8.506933
2.75,5,8.528953
2.76,5,8.550968
2.77,5,8.572988
2.78,5,8.595005
2.79,5,8.617023
2.8,5,8.639043
2.81,5,8.661061
2.82,5,8.68308
2.83,5,8.705097
2.84,5,8.727117
2.85,5,8.749133
2.86,5,8.771154
2.87,5,8.793171
2.88,5,8.815188
2.89,5,8.837207
2.9,5,8.859917
2.91,5,8.882761
2.92,5,8.905604
2.93,5,8.928448
2.94,5,8.951291
2.95,5,8.974134
2.96,5,8.996978
2.97,5,9.01982
2.98,5,9.042665
2.99,5,9.065505
3.0,5,9.088347
3.01,5,9.111192
3.02,5,9.134035
3.03,5,9.156879
3.04,5,9.17972
3.05,5,9.202565
3.06,5,9.225408
3.07,5,9.248252
3.08,5,9.271093
3.09,5,9.293937
3.1,5,9.316779
3.11,5,9.339625
3.12,5,9.362467
3.13,5,9.38531
3.14,5,9.408154
3.15,5,9.432183
3.16,5,9.457367
3.17,5,9.482549
3.18,5,9.50773
3.19,5,9.532913
3.2,5,9.558095
3.21,5,9.583278
3.22,5,9.607817
3.23,5,9.631614
3.24,5,9.655411
3.25,5,9.679208
3.26,5,9.703006
3.27,5,9.726803
3.28,5,9.750598
3.29,5,9.774398
3.3,5,9.798194
3.31,5,9.821994
3.32,5,9.845789
3.33,5,9.869586
3.34,5,9.893383
3.35,5,9.917181
3.36,5,9.940979
3.37,5,9.964774
3.38,5,9.988572
3.39,5,10.012369
3.4,5,10.036168
3.41,5,10.059965
3.42,5,10.083762
3.43,5,10.10756
3.44,5,10.131357
3.45,5,10.155154
3.46,5,10.178951
3.47,5,10.202748
3.48,5,10.226545
3.49,5,10.250343
3.5,5,10.27414
3.51,5,10.297937
3.52,5,10.321735
3.53,5,10.3419485
3.54,5,10.359281
3.55,5,10.37661
3.56,5,10.39394
3.57,5,10.411271
3.58,5,10.428601
3.59,5,10.44593
3.6,5,10.46326
3.61,5,10.480591
3.62,5,10.49792
3.63,5,10.515251
3.64,5,10.532582
3.65,5,10.5499115
3.66,5,10.567242
3.67,5,10.584573
3.68,5,10.601902
3.69,5,10.619232
3.7,5,10.63656
3.71,5,10.653892
3.72,5,10.671223
3.73,5,10.688552
3.74,5,10.705882
3.75,5,10.723211
3.76,5,10.740542
3.77,5,10.757871
3.78,5,10.775203
3.79,5,10.792533
3.8,5,10.809863
3.81,5,10.827192
3.82,5,10.844523
3.83,5,10.861854
3.84,5,10.879186
3.85,5,10.896513
3.86,5,10.913844
3.87,5,10.931175
3.88,5,10.948504
3.89,5,10.965833
3.9,5,10.983164
3.91,5,11.000493
3.92,5,11.017824
3.93,5,11.035155
3.94,5,11.0524845
3.95,5,11.069814
3.96,5,11.087144
3.97,5,11.104476
3.98,5,11.121804
3.99,5,11.139135
4.0,5,11.156466
4.01,5,11.173796
4.02,5,11.191125
4.03,5,11.208456
4.04,5,11.225785
4.05,5,11.243116
4.06,5,11.260446
4.07,5,11.277777
4.08,5,11.295106
4.09,5,11.312436
4.1,5,11.329767
4.11,5,11.347096
4.12,5,11.364427
4.13,5,11.381757
4.14,5,11.399088
4.15,5,11.416417
4.16,5,11.4338
4.17,5,11.451367
4.18,5,11.468937
4.19,5,11.486505
4.2,5,11.504075
4.21,5,11.521643
4.22,5,11.539213
4.23,5,11.556781
4.24,5,11.574349
4.25,5,11.591919
4.26,5,11.609487
4.27,5,11.627055
4.28,5,11.644625
4.29,5,11.662194
4.3,5,11.679762
4.31,5,11.6973295
4.32,5,11.7149
4.33,5,11.7324705
4.34,5,11.750038
4.35,5,11.767607
4.36,5,11.785176
4.37,5,11.802744
4.38,5,11.820313
4.39,5,11.837882
4.4,5,11.855451
4.41,5,11.87302
4.42,5,11.890588
4.43,5,11.908157
4.44,5,11.925726
4.45,5,11.943295
4.46,5,11.960864
4.47,5,11.978433
4.48,5,11.996001
4.49,5,12.013572
4.5,5,12.031139
4.51,5,12.048708
4.52,5,12.0662775
4.53,5,12.083845
4.54,5,12.101415
4.55,5,12.118983
4.56,5,12.136552
4.57,5,12.153694
4.58,5,12.168836
4.59,5,12.183977
4.6,5,12.199119
4.61,5,12.214261
4.62,5,12.2294
4.63,5,12.24454
4.64,5,12.259681
4.65,5,12.274825
4.66,5,12.289966
4.67,5,12.305108
4.68,5,12.320249
4.69,5,12.335391
4.7,5,12.350531
4.71,5,12.365672
4.72,5,12.380814
4.73,5,12.395954
4.74,5,12.411096
4.75,5,12.426239
4.76,5,12.44138
4.77,5,12.456522
4.78,5,12.471663
4.79,5,12.486804
4.8,5,12.501944
4.81,5,12.517086
4.82,5,12.5322275
4.83,5,12.547367
4.84,5,12.56251
