distance,hour,fare
0.0,22,5.0862827
0.01,22,5.086348
0.02,22,5.0864134
0.03,22,5.086479
0.04,22,5.086545
0.05,22,5.086611
0.06,22,5.0864086
0.07,22,5.085903
0.08,22,5.0853977
0.09,22,5.084892
0.1,22,5.084385
0.11,22,5.083879
0.12,22,5.083373
0.13,22,5.0828676
0.14,22,5.082361
0.15,22,5.0815682
0.16,22,5.080493
0.17,22,5.079416
0.18,22,5.0783396
0.19,22,5.0772634
0.2,22,5.076187
0.21,22,5.0751114
0.22,22,5.0740347
0.23,22,5.072958
0.24,22,5.071882
0.25,22,5.0708055
0.26,22,5.069729
0.27,22,5.0686526
0.28,22,5.067576
0.29,22,5.0664997
0.3,22,5.065424
0.31,22,5.0643473
0.32,22,5.063271
0.33,22,5.062195
0.34,22,5.0611186
0.35,22,5.060042
0.36,22,5.0595355
0.37,22,5.0608125
0.38,22,5.0620904
0.39,22,5.0633674
0.4,22,5.0646453
0.41,22,5.065922
0.42,22,5.0671997
0.43,22,5.0684776
0.44,22,5.069755
0.45,22,5.0710316
0.46,22,5.072309
0.47,22,5.073587
0.48,22,5.074864
0.49,22,5.076142
0.5,22,5.077419
0.51,22,5.0786963
0.52,22,5.079974
0.53,22,5.0812507
0.54,22,5.082528
0.55,22,5.0838065
0.56,22,5.085084
0.57,22,5.087201
0.58,22,5.092854
0.59,22,5.098506
0.6,22,5.104159
0.61,22,5.109812
0.62,22,5.115464
0.63,22,5.1232924
0.64,22,5.131457
0.65,22,5.13962
0.66,22,5.1477833
0.67,22,5.1559467
0.68,22,5.164111
0.69,22,5.172274
0.7,22,5.180437
0.71,22,5.188601
0.72,22,5.196765
0.73,22,5.204928
0.74,22,5.213092
0.75,22,5.222521
0.76,22,5.2325797
0.77,22,5.2426405
0.78,22,5.252701
0.79,22,5.2627606
0.8,22,5.2728205
0.81,22,5.2828813
0.82,22,5.292941
0.83,22,5.3030014
0.84,22,5.3130603
0.85,22,5.323121
0.86,22,5.3331814
0.87,22,5.3432407
0.88,22,5.353301
0.89,22,5.3633614
0.9,22,5.3734217
0.91,22,5.3891773
0.92,22,5.4064884
0.93,22,5.4238005
0.94,22,5.441112
0.95,22,5.4584246
0.96,22,5.4757366
0.97,22,5.4930487
0.98,22,5.51036
0.99,22,5.5276723
1.0,22,5.544984
1.01,22,5.5622954
1.02,22,5.5796795
